Trial_Number,Date,Time_Start_hms,Next_Time_Start_hms,FuelLoad_g,Unconsumed_g,iButton_Number,FlameTime_seconds,SmoulderingTime_seconds,Note
Control,1102014,08:42:14,12:00:00,-9999,-9999,B33,-9999,-9999,
1,1102014,08:42:14,08:45:20,38.88,8.09,T3K,58.83,39.73,
2,1102014,08:45:20,08:50:00,46.66,8.55,R23,76.32,178,
3,1102014,08:50:00,08:54:00,54.43,7.78,212,48.83,37.78,
4,1102014,08:54:00,08:57:30,62.21,9.33,T8F,55.7,58.76,
5,1102014,08:57:30,09:50:00,69.98,4.82,S02,59,13,
6,1102014,09:50:00,09:54:00,54.43,8.55,T3K,68.46,32.66,
7,1102014,09:54:00,10:00:00,62.21,4.35,R23,42.55,25.85,
8,1102014,10:00:00,10:07:00,69.98,4.98,212,76.35,58,
9,1102014,10:07:00,10:13:00,77.76,11.2,T8F,60.13,59.36,
10,1102014,10:13:00,10:57:20,85.53,12.13,S02,112.61,101.53,
11,1102014,10:57:20,11:35:00,38.88,4.82,T3K,58:51:00,40.86,
12,1102014,11:35:00,11:04:00,46.66,4.98,R23,53.96,18.93,
13,1102014,11:04:00,11:08:00,54.43,8.55,212,51.08,41.68,
14,1102014,11:08:00,11:12:30,62.21,8.24,T8F,79.18,28.25,
15,1102014,11:12:30,11:46:00,69.98,10.89,S02,79.61,50.16,
16,1102014,11:46:00,11:52:00,69.98,-9999,T3K,57.28,-9999,
17,1102014,11:52:00,11:56:00,77.76,-9999,R23,49.19,60.8,
18,1102014,11:56:00,12:00:00,101.09,4.35,212,60.5,70.78,
Control,2102014,07:47:00,11:20:00,-9999,-9999,B33,,,
19,2102014,07:47:00,07:50:00,69.98,9.18,T3K,60.19,89.2,
20,2102014,07:50:00,07:55:40,77.76,9.33,R23,69.59,80.9,
21,2102014,07:55:40,08:00:00,85.53,13.84,212,60.73,86.93,
22,2102014,08:00:00,08:05:00,93.31,11.2,T8F,72.05,56.73,
23,2102014,08:05:00,08:50:00,101.09,7.93,S02,48.06,48.71,
24,2102014,08:50:00,08:55:00,108.86,10.42,T3K,73.51,57.13,
25,2102014,08:55:00,09:00:00,116.64,12.29,R23,67.61,78.55,
26,2102014,09:00:00,09:05:00,124.41,13.06,212,61.61,64.35,
27,2102014,09:05:00,09:10:00,132.19,11.97,T8F,75.7,70.21,
28,2102014,09:10:00,09:52:00,139.97,13.53,S02,85.41,77.55,
29,2102014,09:52:00,09:57:00,116.64,11.66,T3K,81.25,35,
30,2102014,09:57:00,10:05:00,124.41,-9999,R23,102,-9999,
31,2102014,10:05:00,10:10:00,132.19,11.2,212,56.59,33.33,
32,2102014,10:10:00,10:16:00,139.97,15.86,T8F,55.11,85.78,
33,2102014,10:16:00,10:59:00,147.74,-9999,S02,79.3,225.03,
34,2102014,10:59:00,11:06:00,77.76,4.82,T3K,72.25,90,
35,2102014,11:06:00,11:00:00,54.43,5.13,R23,66.88,54.51,
36,2102014,11:00:00,11:10:00,62.21,-9999,212,64.41,104.28,
37,2102014,11:10:00,11:16:00,108.86,7.93,T8F,67.73,132.54,
38,2102014,11:16:00,11:20:00,69.98,10.42,S02,76.21,62.31,
Control,3102014,07:50:00,10:10:00,,,S212,,,
39,3102014,07:50:00,07:53:00,45,8,B33,102.89,27.3,
40,3102014,07:53:00,07:56:00,40,7.2,G16,66.16,16.05,
41,3102014,07:56:00,08:00:00,65.2,13.1,T8F,112.31,16.8,
42,3102014,08:00:00,08:04:00,30,8.2,229K,71.79,25.81,
43,3102014,08:04:00,08:11:00,50.1,9.3,220,68.88,41.61,
44,3102014,08:11:00,08:15:30,70,8.5,R23,67.63,56.88,
45,3102014,08:15:30,08:21:00,75,11.7,T48,65.19,51.28,
46,3102014,08:21:00,08:25:00,85,11.8,S02,50.96,57.86,
47,3102014,08:25:00,08:29:30,80,12.2,T3k,98.74,95.8,
48,3102014,08:29:30,09:11:00,90,10.6,T84,49.48,91.5,
49,3102014,09:11:00,09:16:30,95,10.6,B33,60.41,170.8,
50,3102014,09:16:30,09:21:00,100,11.2,G16,108.68,67.88,
51,3102014,09:21:00,09:25:00,105,12.6,T8F,88.61,60.76,
52,3102014,09:25:00,09:29:30,110,15.7,229K,125.39,33.93,
53,3102014,09:29:30,09:35:00,115,12.1,220,83.43,101.06,
54,3102014,09:35:00,09:42:00,125,12.9,R23,58.74,81.78,
55,3102014,09:42:00,09:52:00,120,11.1,T48,75.9,74.21,
56,3102014,09:52:00,09:56:00,130,14.3,S02,113.7,53.81,
57,3102014,09:56:00,10:00:30,135,-9999,T3k,82.96,81.03,
58,3102014,10:00:30,10:10:00,140,-9999,T84,76.17,57.75,
