FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,Mag,True,m/s,m/s,m/s,°C,°C,%,°C,°C,°C,mb,m,m
2014-10-01 14:18:40,465488320,***,***,0.0,0.0,0.0,32.6,32.6,31.1,32.4,13.3,19.9,983.40,249,978
2014-10-01 14:18:50,465488330,***,***,0.0,0.0,0.0,32.5,32.5,24.0,31.1,9.3,18.1,983.10,251,965
2014-10-01 14:19:00,465488340,***,***,0.0,0.0,0.0,32.7,32.7,21.9,31.0,8.2,17.7,982.90,253,969
2014-10-01 14:19:10,465488350,***,***,0.0,0.0,0.0,32.8,32.8,21.5,31.1,8.0,17.7,983.70,246,966
2014-10-01 14:19:20,465488360,***,***,0.0,0.0,0.0,32.8,32.8,21.2,31.0,7.7,17.5,983.40,249,967
2014-10-01 14:19:30,465488370,***,***,0.0,0.0,0.0,33.0,33.0,20.8,31.2,7.6,17.6,983.40,249,974
2014-10-01 14:19:40,465488380,***,***,0.0,0.0,0.0,32.9,32.9,20.7,31.0,7.5,17.5,983.20,250,974
2014-10-01 14:19:50,465488390,***,***,0.0,0.0,0.0,33.0,33.0,20.6,31.2,7.5,17.6,983.30,250,976
2014-10-01 14:20:00,465488400,***,***,0.0,0.0,0.0,32.9,32.9,19.7,30.9,6.8,17.3,983.10,251,972
2014-10-01 14:20:10,465488410,***,***,0.0,0.0,0.0,32.9,32.9,19.3,30.8,6.5,17.2,983.20,250,969
2014-10-01 14:20:20,465488420,***,***,0.0,0.0,0.0,33.0,33.0,19.4,30.9,6.6,17.2,983.30,250,973
2014-10-01 14:20:30,465488430,***,***,0.0,0.0,0.0,33.1,33.1,19.1,31.0,6.5,17.2,983.40,249,974
2014-10-01 14:20:40,465488440,***,***,0.0,0.0,0.0,33.0,33.0,19.1,30.9,6.4,17.1,983.70,247,967
2014-10-01 14:20:50,465488450,***,***,0.0,0.0,0.0,32.9,32.9,18.9,30.7,6.2,17.0,983.80,246,964
2014-10-01 14:21:00,465488460,***,***,0.0,0.0,0.0,32.9,32.9,18.9,30.7,6.1,17.0,983.70,247,963
2014-10-01 14:21:10,465488470,***,***,0.0,0.0,0.0,32.8,32.8,19.1,30.7,6.2,17.0,983.70,246,959
2014-10-01 14:21:20,465488480,***,***,0.0,0.0,0.0,32.9,32.9,18.7,30.7,6.0,17.0,983.10,252,972
2014-10-01 14:21:30,465488490,***,***,0.0,0.0,0.0,33.1,33.1,18.4,30.9,5.9,17.0,983.40,249,971
2014-10-01 14:21:40,465488500,***,***,0.0,0.0,0.0,33.0,33.0,18.9,30.8,6.2,17.1,983.80,245,964
2014-10-01 14:21:50,465488510,***,***,0.0,0.0,0.0,32.9,32.9,19.0,30.8,6.2,17.0,983.20,251,970
2014-10-01 14:22:00,465488520,***,***,0.0,0.0,0.0,33.1,33.1,18.4,30.9,5.9,17.0,984.00,244,967
2014-10-01 14:22:10,465488530,***,***,0.0,0.0,0.0,33.0,33.0,18.6,30.8,6.0,17.0,983.70,247,967
2014-10-01 14:22:20,465488540,***,***,0.0,0.0,0.0,33.0,33.0,18.7,30.8,6.1,17.0,983.70,247,969
2014-10-01 14:22:30,465488550,***,***,0.0,0.0,0.0,33.0,33.0,18.9,30.8,6.2,17.1,983.50,249,970
2014-10-01 14:22:40,465488560,***,***,0.0,0.0,0.0,33.1,33.1,18.9,31.0,6.3,17.2,983.70,247,970
2014-10-01 14:22:50,465488570,***,***,0.0,0.0,0.0,33.0,33.0,18.8,30.8,6.2,17.1,983.90,244,965
2014-10-01 14:23:00,465488580,***,***,0.0,0.0,0.0,33.1,33.1,18.7,31.0,6.1,17.1,984.20,242,963
2014-10-01 14:23:10,465488590,***,***,0.0,0.0,0.0,33.1,33.1,18.2,30.9,5.8,16.9,983.40,249,973
2014-10-01 14:23:20,465488600,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.8,16.9,983.40,249,967
2014-10-01 14:23:30,465488610,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.8,16.9,983.50,248,966
2014-10-01 14:23:40,465488620,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.8,16.9,983.60,248,966
2014-10-01 14:23:50,465488630,***,***,0.0,0.0,0.0,32.9,32.9,18.3,30.6,5.7,16.9,983.70,247,963
2014-10-01 14:24:00,465488640,***,***,0.0,0.0,0.0,32.9,32.9,18.4,30.7,5.8,16.9,984.00,244,960
2014-10-01 14:24:10,465488650,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.9,16.9,983.30,250,969
2014-10-01 14:24:20,465488660,***,***,0.0,0.0,0.0,33.0,33.0,18.5,30.8,5.9,17.0,984.20,243,961
2014-10-01 14:24:30,465488670,***,***,0.0,0.0,0.0,33.0,33.0,18.6,30.8,6.0,17.0,983.50,249,970
2014-10-01 14:24:40,465488680,***,***,0.0,0.0,0.0,33.1,33.1,18.3,30.9,5.9,17.0,983.70,247,969
2014-10-01 14:24:50,465488690,***,***,0.0,0.0,0.0,32.9,32.9,18.9,30.7,6.2,17.0,983.70,247,966
2014-10-01 14:25:00,465488700,***,***,0.0,0.0,0.0,33.0,33.0,18.8,30.8,6.2,17.1,983.70,247,969
2014-10-01 14:25:10,465488710,***,***,0.0,0.0,0.0,33.0,33.0,18.8,30.8,6.1,17.0,983.90,245,964
2014-10-01 14:25:20,465488720,***,***,0.0,0.0,0.0,33.0,33.0,18.6,30.8,6.0,17.0,983.50,249,970
2014-10-01 14:25:30,465488730,***,***,0.0,0.0,0.0,33.0,33.0,18.8,30.8,6.2,17.1,983.70,246,967
2014-10-01 14:25:40,465488740,***,***,0.0,0.0,0.0,32.9,32.9,18.8,30.7,6.0,17.0,983.90,244,960
2014-10-01 14:25:50,465488750,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.9,16.9,983.60,248,966
2014-10-01 14:26:00,465488760,***,***,0.0,0.0,0.0,33.0,33.0,18.6,30.8,6.0,17.0,983.80,245,967
2014-10-01 14:26:10,465488770,***,***,0.0,0.0,0.0,33.0,33.0,18.5,30.8,5.9,16.9,983.70,247,967
2014-10-01 14:26:20,465488780,***,***,0.0,0.0,0.0,33.0,33.0,18.6,30.8,6.0,17.0,983.90,244,963
2014-10-01 14:26:30,465488790,***,***,0.0,0.0,0.0,32.9,32.9,18.5,30.7,5.9,16.9,983.60,247,964
2014-10-01 14:26:40,465488800,***,***,0.0,0.0,0.0,33.1,33.1,18.3,30.9,5.8,16.9,983.40,249,970
2014-10-01 14:26:50,465488810,***,***,0.0,0.0,0.0,33.1,33.1,18.1,30.9,5.7,16.9,983.60,248,970
2014-10-01 14:27:00,465488820,***,***,0.0,0.0,0.0,33.1,33.1,18.1,30.9,5.7,16.9,983.50,248,971
2014-10-01 14:27:10,465488830,***,***,0.0,0.0,0.0,32.9,32.9,18.6,30.7,5.9,16.9,983.80,245,963
2014-10-01 14:27:20,465488840,***,***,0.0,0.0,0.0,32.9,32.9,18.4,30.7,5.8,16.9,983.90,245,962
2014-10-01 14:27:30,465488850,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.8,16.9,983.30,250,970
2014-10-01 14:27:40,465488860,***,***,0.0,0.0,0.0,33.1,33.1,18.1,30.9,5.7,16.9,983.60,248,970
2014-10-01 14:27:50,465488870,***,***,0.0,0.0,0.0,33.1,33.1,18.2,30.9,5.8,16.9,983.70,247,970
2014-10-01 14:28:00,465488880,***,***,0.0,0.0,0.0,32.9,32.9,18.4,30.7,5.8,16.9,983.40,249,967
2014-10-01 14:28:10,465488890,***,***,0.0,0.0,0.0,33.0,33.0,18.3,30.7,5.8,16.9,983.40,249,969
2014-10-01 14:28:20,465488900,***,***,0.0,0.0,0.0,33.0,33.0,18.3,30.7,5.8,16.9,983.60,248,967
2014-10-01 14:28:30,465488910,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.8,16.9,983.70,247,966
2014-10-01 14:28:40,465488920,***,***,0.0,0.0,0.0,33.1,33.1,18.3,30.9,5.9,17.0,983.80,246,967
2014-10-01 14:28:50,465488930,***,***,0.0,0.0,0.0,32.9,32.9,18.5,30.7,5.9,16.9,983.40,249,969
2014-10-01 14:29:00,465488940,***,***,0.0,0.0,0.0,33.0,33.0,18.5,30.8,5.9,16.9,983.60,248,966
2014-10-01 14:29:10,465488950,***,***,0.0,0.0,0.0,33.0,33.0,18.5,30.8,5.9,16.9,983.60,248,967
2014-10-01 14:29:20,465488960,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.9,16.9,983.50,249,967
2014-10-01 14:29:30,465488970,***,***,0.0,0.0,0.0,33.0,33.0,18.5,30.8,6.0,17.0,983.40,249,971
2014-10-01 14:29:40,465488980,***,***,0.0,0.0,0.0,33.0,33.0,18.6,30.8,6.0,17.0,983.50,249,970
2014-10-01 14:29:50,465488990,***,***,0.0,0.0,0.0,33.1,33.1,18.5,31.0,6.0,17.0,983.90,244,967
2014-10-01 14:30:00,465489000,***,***,0.0,0.0,0.0,33.0,33.0,18.5,30.8,5.9,16.9,983.40,249,970
2014-10-01 14:30:10,465489010,***,***,0.0,0.0,0.0,33.0,33.0,18.4,30.8,5.9,16.9,983.50,249,968
2014-10-01 14:30:20,465489020,***,***,0.0,0.0,0.0,33.1,33.1,18.3,30.9,5.8,16.9,983.50,249,970
2014-10-01 14:30:30,465489030,***,***,0.0,0.0,0.0,33.2,33.2,18.2,31.0,5.9,17.0,983.70,246,971
2014-10-01 14:30:40,465489040,***,***,0.0,0.0,0.0,33.1,33.1,18.4,30.9,6.0,17.0,983.80,246,969
2014-10-01 14:30:50,465489050,***,***,0.0,0.0,0.0,33.1,33.1,18.6,31.0,6.1,17.0,983.40,249,974
2014-10-01 14:31:00,465489060,***,***,0.0,0.0,0.0,33.0,33.0,18.7,30.8,6.1,17.0,983.40,249,970
2014-10-01 14:31:10,465489070,***,***,0.0,0.0,0.0,33.0,33.0,18.7,30.8,6.1,17.0,983.40,249,970
2014-10-01 14:31:20,465489080,***,***,0.0,0.0,0.0,33.0,33.0,18.5,30.8,5.9,16.9,983.80,246,965
2014-10-01 14:31:30,465489090,***,***,0.0,0.0,0.0,33.0,33.0,18.7,30.8,6.1,17.0,983.40,249,970
2014-10-01 14:31:40,465489100,***,***,0.0,0.0,0.0,33.0,33.0,18.7,30.8,6.1,17.0,983.40,249,970
2014-10-01 14:31:50,465489110,***,***,0.0,0.0,0.0,33.1,33.1,18.5,31.0,6.0,17.0,983.70,247,968
2014-10-01 14:32:00,465489120,***,***,0.0,0.0,0.0,32.9,32.9,19.0,30.8,6.2,17.0,983.50,249,966
2014-10-01 14:32:10,465489130,***,***,0.0,0.0,0.0,32.9,32.9,19.4,30.8,6.6,17.2,983.60,248,966
2014-10-01 14:32:20,465489140,***,***,0.0,0.0,0.0,33.0,33.0,19.1,30.9,6.4,17.1,983.40,249,970
