FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,Mag,True,m/s,m/s,m/s,°C,°C,%,°C,°C,°C,mb,m,m
2014-10-03 05:37:00,465629820,***,***,0.0,0.0,0.0,23.4,23.4,49.4,22.8,12.2,16.4,989.90,194,593
2014-10-03 07:34:00,465636840,***,***,0.0,0.0,0.0,18.6,18.6,56.7,17.3,9.9,13.4,974.80,323,579
2014-10-03 07:34:10,465636850,***,***,0.0,0.0,0.0,18.4,18.4,56.6,17.0,9.7,13.2,974.50,325,574
2014-10-03 07:34:20,465636860,***,***,0.0,0.0,0.0,18.3,18.3,55.7,16.8,9.3,13.0,974.50,325,568
2014-10-03 07:34:30,465636870,***,***,0.0,0.0,0.0,17.9,17.9,55.8,16.4,9.0,12.7,974.40,326,555
2014-10-03 07:34:40,465636880,***,***,0.0,0.0,0.0,18.1,18.1,56.4,16.7,9.3,12.9,974.40,326,563
2014-10-03 07:34:50,465636890,***,***,0.0,0.0,0.0,18.3,18.3,56.9,16.9,9.6,13.2,974.40,326,570
2014-10-03 07:35:00,465636900,***,***,0.0,0.0,0.0,18.2,18.2,57.4,16.8,9.6,13.1,974.50,325,564
2014-10-03 07:35:10,465636910,***,***,0.0,0.0,0.0,18.2,18.2,57.5,16.8,9.7,13.1,974.50,325,568
2014-10-03 07:35:20,465636920,***,***,0.0,0.0,0.0,18.3,18.3,57.1,16.9,9.7,13.2,974.40,325,570
2014-10-03 07:35:30,465636930,***,***,0.6,0.6,0.6,18.0,18.0,56.6,16.6,9.3,12.9,974.50,325,558
2014-10-03 07:35:40,465636940,***,***,0.3,0.3,0.3,17.5,17.5,56.2,16.0,8.7,12.4,974.40,325,539
2014-10-03 07:35:50,465636950,***,***,0.0,0.0,0.0,18.1,18.1,57.7,16.7,9.6,13.1,974.60,325,561
2014-10-03 07:36:00,465636960,***,***,0.0,0.0,0.0,18.7,18.7,59.4,17.5,10.6,13.8,974.60,324,583
2014-10-03 07:36:10,465636970,***,***,0.0,0.0,0.0,18.8,18.8,58.7,17.7,10.6,13.9,974.60,324,589
2014-10-03 07:36:20,465636980,***,***,0.8,0.8,0.8,18.9,18.9,57.1,17.7,10.2,13.7,974.60,325,592
2014-10-03 07:36:30,465636990,***,***,0.5,0.5,0.5,18.8,18.8,56.4,17.6,9.9,13.5,974.50,325,586
2014-10-03 07:36:40,465637000,***,***,0.0,0.0,0.0,18.8,18.8,55.9,17.5,9.8,13.4,974.70,324,586
2014-10-03 07:36:50,465637010,***,***,0.0,0.0,0.0,18.8,18.8,55.5,17.5,9.7,13.4,974.60,325,586
2014-10-03 07:37:00,465637020,***,***,0.0,0.0,0.0,18.8,18.8,55.1,17.5,9.6,13.4,974.60,324,586
2014-10-03 07:37:10,465637030,***,***,0.0,0.0,0.0,18.9,18.9,55.1,17.6,9.7,13.4,974.60,325,589
2014-10-03 07:37:20,465637040,***,***,0.0,0.0,0.0,18.9,18.9,55.0,17.6,9.6,13.4,974.60,325,589
2014-10-03 07:37:30,465637050,***,***,0.0,0.0,0.0,18.9,18.9,54.8,17.6,9.6,13.4,974.60,325,590
2014-10-03 07:37:40,465637060,***,***,0.0,0.0,0.0,18.7,18.7,54.7,17.3,9.4,13.2,974.60,324,582
2014-10-03 07:37:50,465637070,***,***,0.0,0.0,0.0,18.8,18.8,54.6,17.5,9.4,13.2,974.60,325,585
2014-10-03 07:38:00,465637080,***,***,0.0,0.0,0.0,18.8,18.8,54.6,17.5,9.5,13.3,974.60,325,586
2014-10-03 07:38:10,465637090,***,***,0.0,0.0,0.0,18.9,18.9,54.6,17.6,9.6,13.4,974.70,324,589
2014-10-03 07:38:20,465637100,***,***,0.0,0.0,0.0,18.9,18.9,54.7,17.6,9.5,13.3,974.70,324,588
2014-10-03 07:38:30,465637110,***,***,0.0,0.0,0.0,19.0,19.0,54.6,17.7,9.7,13.4,974.50,325,596
2014-10-03 07:38:40,465637120,***,***,0.5,0.5,0.5,18.9,18.9,54.4,17.6,9.5,13.3,974.60,325,589
2014-10-03 07:38:50,465637130,***,***,0.6,0.6,0.6,18.1,18.1,54.2,16.5,8.7,12.7,974.60,324,556
2014-10-03 07:39:00,465637140,***,***,0.0,0.0,0.0,18.5,18.5,54.6,17.0,9.2,13.0,974.60,325,575
2014-10-03 07:39:10,465637150,***,***,0.0,0.0,0.0,18.5,18.5,55.0,17.0,9.3,13.1,974.60,324,575
2014-10-03 07:39:20,465637160,***,***,0.0,0.0,0.0,18.6,18.6,55.1,17.2,9.5,13.2,974.60,324,579
2014-10-03 07:39:30,465637170,***,***,0.0,0.0,0.0,18.9,18.9,55.0,17.6,9.6,13.4,974.60,324,588
2014-10-03 07:39:40,465637180,***,***,0.0,0.0,0.0,19.0,19.0,54.8,17.7,9.7,13.4,974.50,325,593
2014-10-03 07:39:50,465637190,***,***,0.0,0.0,0.0,19.0,19.0,54.6,17.7,9.7,13.4,974.60,325,594
2014-10-03 07:40:00,465637200,***,***,0.0,0.0,0.0,18.9,18.9,54.5,17.6,9.6,13.4,974.70,324,590
2014-10-03 07:40:10,465637210,***,***,0.0,0.0,0.0,19.0,19.0,54.6,17.7,9.6,13.4,974.70,324,591
2014-10-03 07:40:20,465637220,***,***,0.0,0.0,0.0,19.1,19.1,54.5,17.9,9.7,13.5,974.70,324,595
2014-10-03 07:40:30,465637230,***,***,0.0,0.0,0.0,19.0,19.0,54.7,17.7,9.7,13.4,974.70,324,594
2014-10-03 07:40:40,465637240,***,***,0.7,0.7,0.7,18.7,18.7,54.2,17.2,9.3,13.1,974.70,324,581
2014-10-03 07:40:50,465637250,***,***,0.6,0.6,0.6,18.6,18.6,54.1,17.1,9.2,13.0,974.60,325,579
2014-10-03 07:41:00,465637260,***,***,0.6,0.6,0.6,18.4,18.4,54.3,16.8,9.0,12.9,974.60,324,569
2014-10-03 07:41:10,465637270,***,***,0.0,0.0,0.0,18.7,18.7,54.8,17.3,9.4,13.2,974.70,324,581
2014-10-03 07:41:20,465637280,***,***,0.0,0.0,0.0,18.8,18.8,55.0,17.5,9.6,13.4,974.70,324,584
2014-10-03 07:41:30,465637290,***,***,0.0,0.0,0.0,18.8,18.8,55.1,17.5,9.6,13.4,974.60,324,585
2014-10-03 07:41:40,465637300,***,***,0.8,0.8,0.8,18.9,18.9,54.9,17.6,9.6,13.4,974.60,324,589
2014-10-03 07:41:50,465637310,***,***,0.4,0.4,0.4,18.8,18.8,54.8,17.5,9.5,13.3,974.70,323,584
2014-10-03 07:42:00,465637320,***,***,0.0,0.0,0.0,18.8,18.8,55.0,17.5,9.6,13.4,974.50,325,587
2014-10-03 07:42:10,465637330,***,***,0.0,0.0,0.0,18.7,18.7,54.7,17.3,9.4,13.2,974.70,323,579
2014-10-03 07:42:20,465637340,***,***,0.0,0.0,0.0,18.6,18.6,54.7,17.2,9.3,13.1,974.70,323,576
2014-10-03 07:42:30,465637350,***,***,0.0,0.0,0.0,18.7,18.7,54.7,17.3,9.4,13.2,974.70,323,579
2014-10-03 07:42:40,465637360,***,***,0.0,0.0,0.0,18.8,18.8,54.7,17.5,9.5,13.3,974.80,323,585
2014-10-03 07:42:50,465637370,***,***,0.0,0.0,0.0,18.9,18.9,54.7,17.6,9.6,13.4,974.70,323,588
2014-10-03 07:43:00,465637380,***,***,0.0,0.0,0.0,18.8,18.8,54.6,17.5,9.5,13.3,974.70,323,584
2014-10-03 07:43:10,465637390,***,***,0.0,0.0,0.0,18.7,18.7,54.4,17.3,9.3,13.1,974.70,323,579
2014-10-03 07:43:20,465637400,***,***,0.6,0.6,0.6,18.6,18.6,54.6,17.2,9.3,13.1,974.70,324,576
2014-10-03 07:43:30,465637410,***,***,0.4,0.4,0.4,18.6,18.6,54.8,17.2,9.4,13.2,974.70,323,576
2014-10-03 07:43:40,465637420,***,***,1.0,1.0,1.0,18.3,18.3,54.8,16.8,9.0,12.9,974.70,323,564
2014-10-03 07:43:50,465637430,***,***,1.3,1.3,1.3,17.4,17.4,54.6,15.9,8.1,12.1,974.80,323,530
2014-10-03 07:44:00,465637440,***,***,0.7,0.7,0.7,17.2,17.2,55.5,15.7,8.2,12.1,974.70,323,524
2014-10-03 07:44:10,465637450,***,***,0.8,0.8,0.8,17.3,17.3,56.3,15.9,8.5,12.2,974.70,324,529
2014-10-03 07:44:20,465637460,***,***,1.1,1.1,1.1,17.3,17.3,57.1,15.9,8.8,12.4,974.70,323,530
2014-10-03 07:44:30,465637470,***,***,1.1,1.1,1.1,17.6,17.6,57.4,16.2,9.0,12.6,974.70,323,538
