1-Wire/iButton Part Number: DS1922T
1-Wire/iButton Registration Number: AD0000002988D741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  First sample not yet logged
Mission Sample Count:  0
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Nov 30 00:00:00 WAST 1999
Total Mission Samples:  0
Total Device Samples:  25183
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/1/14 8:17:01 AM,C,32.504
10/1/14 8:17:06 AM,C,32.504
10/1/14 8:17:11 AM,C,32.504
10/1/14 8:17:16 AM,C,32.004
10/1/14 8:17:21 AM,C,32.004
10/1/14 8:17:26 AM,C,32.004
10/1/14 8:17:31 AM,C,31.504
10/1/14 8:17:36 AM,C,31.504
10/1/14 8:17:41 AM,C,31.504
10/1/14 8:17:46 AM,C,31.003
10/1/14 8:17:51 AM,C,31.003
10/1/14 8:17:56 AM,C,30.503
10/1/14 8:18:01 AM,C,30.503
10/1/14 8:18:06 AM,C,30.003
10/1/14 8:18:11 AM,C,30.003
10/1/14 8:18:16 AM,C,29.502
10/1/14 8:18:21 AM,C,29.502
10/1/14 8:18:26 AM,C,29.502
10/1/14 8:18:31 AM,C,29.002
10/1/14 8:18:36 AM,C,29.002
10/1/14 8:18:41 AM,C,28.502
10/1/14 8:18:46 AM,C,28.502
10/1/14 8:18:51 AM,C,28.502
10/1/14 8:18:56 AM,C,28.502
10/1/14 8:19:01 AM,C,28.502
10/1/14 8:19:06 AM,C,28.001
10/1/14 8:19:11 AM,C,28.001
10/1/14 8:19:16 AM,C,28.001
10/1/14 8:19:21 AM,C,28.001
10/1/14 8:19:26 AM,C,28.001
10/1/14 8:19:31 AM,C,28.001
10/1/14 8:19:36 AM,C,27.501
10/1/14 8:19:41 AM,C,27.501
10/1/14 8:19:46 AM,C,27.501
10/1/14 8:19:51 AM,C,27.501
10/1/14 8:19:56 AM,C,27.501
10/1/14 8:20:01 AM,C,27.001
10/1/14 8:20:06 AM,C,27.001
10/1/14 8:20:11 AM,C,27.001
10/1/14 8:20:16 AM,C,27.001
10/1/14 8:20:21 AM,C,27.001
10/1/14 8:20:26 AM,C,27.001
10/1/14 8:20:31 AM,C,26.5
10/1/14 8:20:36 AM,C,26.5
10/1/14 8:20:41 AM,C,26.5
10/1/14 8:20:46 AM,C,26.5
10/1/14 8:20:51 AM,C,26.5
10/1/14 8:20:56 AM,C,26.5
10/1/14 8:21:01 AM,C,26.5
10/1/14 8:21:06 AM,C,26.5
10/1/14 8:21:11 AM,C,26
10/1/14 8:21:16 AM,C,26
10/1/14 8:21:21 AM,C,26
10/1/14 8:21:26 AM,C,26
10/1/14 8:21:31 AM,C,26
10/1/14 8:21:36 AM,C,26
10/1/14 8:21:41 AM,C,26
10/1/14 8:21:46 AM,C,26
10/1/14 8:21:51 AM,C,26
10/1/14 8:21:56 AM,C,26
10/1/14 8:22:01 AM,C,26
10/1/14 8:22:06 AM,C,26
10/1/14 8:22:11 AM,C,26
10/1/14 8:22:16 AM,C,26
10/1/14 8:22:21 AM,C,26
10/1/14 8:22:26 AM,C,26
10/1/14 8:22:31 AM,C,26
10/1/14 8:22:36 AM,C,26
10/1/14 8:22:41 AM,C,26
10/1/14 8:22:46 AM,C,26
10/1/14 8:22:51 AM,C,26
10/1/14 8:22:56 AM,C,26
10/1/14 8:23:01 AM,C,26
10/1/14 8:23:06 AM,C,26
10/1/14 8:23:11 AM,C,25.5
10/1/14 8:23:16 AM,C,25.5
10/1/14 8:23:21 AM,C,25.5
10/1/14 8:23:26 AM,C,25.5
10/1/14 8:23:31 AM,C,25.5
10/1/14 8:23:36 AM,C,25.5
10/1/14 8:23:41 AM,C,25.5
10/1/14 8:23:46 AM,C,25.5
10/1/14 8:23:51 AM,C,25.5
10/1/14 8:23:56 AM,C,25.5
10/1/14 8:24:01 AM,C,25.5
10/1/14 8:24:06 AM,C,25.5
10/1/14 8:24:11 AM,C,25.5
10/1/14 8:24:16 AM,C,25.5
10/1/14 8:24:21 AM,C,25.5
10/1/14 8:24:26 AM,C,25.5
10/1/14 8:24:31 AM,C,25.5
10/1/14 8:24:36 AM,C,25.5
10/1/14 8:24:41 AM,C,25.5
10/1/14 8:24:46 AM,C,25.5
10/1/14 8:24:51 AM,C,25.5
10/1/14 8:24:56 AM,C,25.5
10/1/14 8:25:01 AM,C,25.5
10/1/14 8:25:06 AM,C,25.5
10/1/14 8:25:11 AM,C,24.999
10/1/14 8:25:16 AM,C,24.999
10/1/14 8:25:21 AM,C,24.999
10/1/14 8:25:26 AM,C,24.999
10/1/14 8:25:31 AM,C,24.999
10/1/14 8:25:36 AM,C,24.999
10/1/14 8:25:41 AM,C,24.999
10/1/14 8:25:46 AM,C,24.999
10/1/14 8:25:51 AM,C,24.999
10/1/14 8:25:56 AM,C,24.999
10/1/14 8:26:01 AM,C,24.999
10/1/14 8:26:06 AM,C,24.999
10/1/14 8:26:11 AM,C,24.999
