1-Wire/iButton Part Number: DS1922T
1-Wire/iButton Registration Number: B900000029886941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 5 second(s)
Mission Start Time:  Wed Oct 01 08:15:03 WAST 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Oct 01 08:15:03 WAST 2014
Total Mission Samples:  8192
Total Device Samples:  33375
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/1/14 8:15:03 AM,C,30.053
10/1/14 8:15:08 AM,C,30.053
10/1/14 8:15:13 AM,C,30.555
10/1/14 8:15:18 AM,C,30.555
10/1/14 8:15:23 AM,C,30.555
10/1/14 8:15:28 AM,C,30.555
10/1/14 8:15:33 AM,C,30.053
10/1/14 8:15:38 AM,C,30.053
10/1/14 8:15:43 AM,C,30.053
10/1/14 8:15:48 AM,C,29.55
10/1/14 8:15:53 AM,C,29.55
10/1/14 8:15:58 AM,C,29.048
10/1/14 8:16:03 AM,C,29.048
10/1/14 8:16:08 AM,C,28.546
10/1/14 8:16:13 AM,C,28.546
10/1/14 8:16:18 AM,C,28.043
10/1/14 8:16:23 AM,C,28.043
10/1/14 8:16:28 AM,C,27.541
10/1/14 8:16:33 AM,C,27.541
10/1/14 8:16:38 AM,C,27.541
10/1/14 8:16:43 AM,C,27.541
10/1/14 8:16:48 AM,C,27.038
10/1/14 8:16:53 AM,C,27.038
10/1/14 8:16:58 AM,C,27.038
10/1/14 8:17:03 AM,C,27.038
10/1/14 8:17:08 AM,C,26.535
10/1/14 8:17:13 AM,C,26.535
10/1/14 8:17:18 AM,C,26.535
10/1/14 8:17:23 AM,C,26.535
10/1/14 8:17:28 AM,C,26.535
10/1/14 8:17:33 AM,C,26.535
10/1/14 8:17:38 AM,C,26.535
10/1/14 8:17:43 AM,C,26.535
10/1/14 8:17:48 AM,C,26.535
10/1/14 8:17:53 AM,C,26.033
10/1/14 8:17:58 AM,C,26.033
10/1/14 8:18:03 AM,C,26.033
10/1/14 8:18:08 AM,C,26.033
10/1/14 8:18:13 AM,C,26.033
10/1/14 8:18:18 AM,C,26.033
10/1/14 8:18:23 AM,C,25.53
10/1/14 8:18:28 AM,C,25.53
10/1/14 8:18:33 AM,C,25.53
10/1/14 8:18:38 AM,C,25.53
10/1/14 8:18:43 AM,C,25.53
10/1/14 8:18:48 AM,C,25.53
10/1/14 8:18:53 AM,C,25.53
10/1/14 8:18:58 AM,C,25.53
10/1/14 8:19:03 AM,C,25.53
10/1/14 8:19:08 AM,C,25.53
10/1/14 8:19:13 AM,C,25.53
10/1/14 8:19:18 AM,C,25.027
10/1/14 8:19:23 AM,C,25.027
10/1/14 8:19:28 AM,C,25.027
10/1/14 8:19:33 AM,C,25.027
10/1/14 8:19:38 AM,C,25.027
10/1/14 8:19:43 AM,C,25.027
10/1/14 8:19:48 AM,C,25.027
10/1/14 8:19:53 AM,C,25.027
10/1/14 8:19:58 AM,C,25.027
10/1/14 8:20:03 AM,C,25.027
10/1/14 8:20:08 AM,C,25.027
10/1/14 8:20:13 AM,C,25.027
10/1/14 8:20:18 AM,C,25.027
10/1/14 8:20:23 AM,C,24.524
10/1/14 8:20:28 AM,C,24.524
10/1/14 8:20:33 AM,C,24.524
10/1/14 8:20:38 AM,C,24.524
10/1/14 8:20:43 AM,C,24.524
10/1/14 8:20:48 AM,C,25.027
10/1/14 8:20:53 AM,C,24.524
10/1/14 8:20:58 AM,C,25.027
10/1/14 8:21:03 AM,C,25.027
10/1/14 8:21:08 AM,C,25.027
10/1/14 8:21:13 AM,C,25.027
10/1/14 8:21:18 AM,C,25.027
10/1/14 8:21:23 AM,C,25.027
10/1/14 8:21:28 AM,C,25.027
10/1/14 8:21:33 AM,C,25.027
10/1/14 8:21:38 AM,C,25.027
10/1/14 8:21:43 AM,C,25.027
10/1/14 8:21:48 AM,C,25.027
10/1/14 8:21:53 AM,C,25.027
10/1/14 8:21:58 AM,C,25.027
10/1/14 8:22:03 AM,C,25.027
10/1/14 8:22:08 AM,C,25.027
10/1/14 8:22:13 AM,C,25.027
10/1/14 8:22:18 AM,C,25.027
10/1/14 8:22:23 AM,C,25.027
10/1/14 8:22:28 AM,C,25.027
10/1/14 8:22:33 AM,C,25.027
10/1/14 8:22:38 AM,C,25.027
10/1/14 8:22:43 AM,C,25.027
10/1/14 8:22:48 AM,C,25.027
10/1/14 8:22:53 AM,C,25.027
10/1/14 8:22:58 AM,C,25.027
10/1/14 8:23:03 AM,C,25.027
10/1/14 8:23:08 AM,C,25.027
10/1/14 8:23:13 AM,C,25.027
10/1/14 8:23:18 AM,C,25.027
10/1/14 8:23:23 AM,C,24.524
10/1/14 8:23:28 AM,C,24.524
10/1/14 8:23:33 AM,C,24.524
10/1/14 8:23:38 AM,C,24.524
10/1/14 8:23:43 AM,C,24.524
10/1/14 8:23:48 AM,C,24.524
10/1/14 8:23:53 AM,C,24.524
10/1/14 8:23:58 AM,C,24.524
10/1/14 8:24:03 AM,C,24.524
10/1/14 8:24:08 AM,C,24.524
10/1/14 8:24:13 AM,C,24.524
10/1/14 8:24:18 AM,C,24.524
10/1/14 8:24:23 AM,C,24.524
10/1/14 8:24:28 AM,C,24.524
10/1/14 8:24:33 AM,C,24.524
10/1/14 8:24:38 AM,C,24.524
10/1/14 8:24:43 AM,C,24.524
10/1/14 8:24:48 AM,C,24.524
10/1/14 8:24:53 AM,C,24.524
10/1/14 8:24:58 AM,C,24.524
10/1/14 8:25:03 AM,C,24.524
10/1/14 8:25:08 AM,C,24.524
10/1/14 8:25:13 AM,C,24.524
