1-Wire/iButton Part Number: DS1922T
1-Wire/iButton Registration Number: D0000000211DF141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 5 second(s)
Mission Start Time:  Wed Oct 01 08:17:29 WAST 2014
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Oct 01 08:17:29 WAST 2014
Total Mission Samples:  8192
Total Device Samples:  64895
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/1/14 8:17:29 AM,C,31.488
10/1/14 8:17:34 AM,C,31.488
10/1/14 8:17:39 AM,C,31.488
10/1/14 8:17:44 AM,C,31.488
10/1/14 8:17:49 AM,C,31.488
10/1/14 8:17:54 AM,C,31.488
10/1/14 8:17:59 AM,C,30.989
10/1/14 8:18:04 AM,C,30.491
10/1/14 8:18:09 AM,C,30.491
10/1/14 8:18:14 AM,C,30.491
10/1/14 8:18:19 AM,C,29.992
10/1/14 8:18:24 AM,C,29.992
10/1/14 8:18:29 AM,C,29.493
10/1/14 8:18:34 AM,C,29.493
10/1/14 8:18:39 AM,C,28.994
10/1/14 8:18:44 AM,C,28.994
10/1/14 8:18:49 AM,C,28.994
10/1/14 8:18:54 AM,C,28.994
10/1/14 8:18:59 AM,C,28.495
10/1/14 8:19:04 AM,C,28.495
10/1/14 8:19:09 AM,C,28.495
10/1/14 8:19:14 AM,C,28.495
10/1/14 8:19:19 AM,C,28.495
10/1/14 8:19:24 AM,C,27.997
10/1/14 8:19:29 AM,C,27.997
10/1/14 8:19:34 AM,C,27.997
10/1/14 8:19:39 AM,C,27.997
10/1/14 8:19:44 AM,C,27.997
10/1/14 8:19:49 AM,C,27.498
10/1/14 8:19:54 AM,C,27.498
10/1/14 8:19:59 AM,C,27.498
10/1/14 8:20:04 AM,C,27.498
10/1/14 8:20:09 AM,C,27.498
10/1/14 8:20:14 AM,C,27.498
10/1/14 8:20:19 AM,C,26.999
10/1/14 8:20:24 AM,C,26.999
10/1/14 8:20:29 AM,C,26.999
10/1/14 8:20:34 AM,C,26.999
10/1/14 8:20:39 AM,C,26.999
10/1/14 8:20:44 AM,C,26.999
10/1/14 8:20:49 AM,C,26.501
10/1/14 8:20:54 AM,C,26.501
10/1/14 8:20:59 AM,C,26.501
10/1/14 8:21:04 AM,C,26.501
10/1/14 8:21:09 AM,C,26.501
10/1/14 8:21:14 AM,C,26.501
10/1/14 8:21:19 AM,C,26.501
10/1/14 8:21:24 AM,C,26.501
10/1/14 8:21:29 AM,C,26.501
10/1/14 8:21:34 AM,C,26.501
10/1/14 8:21:39 AM,C,26.002
10/1/14 8:21:44 AM,C,26.002
10/1/14 8:21:49 AM,C,26.002
10/1/14 8:21:54 AM,C,26.002
10/1/14 8:21:59 AM,C,26.002
10/1/14 8:22:04 AM,C,26.002
10/1/14 8:22:09 AM,C,26.002
10/1/14 8:22:14 AM,C,26.002
10/1/14 8:22:19 AM,C,26.002
10/1/14 8:22:24 AM,C,26.002
10/1/14 8:22:29 AM,C,26.002
10/1/14 8:22:34 AM,C,26.002
10/1/14 8:22:39 AM,C,26.002
10/1/14 8:22:44 AM,C,26.002
10/1/14 8:22:49 AM,C,26.002
10/1/14 8:22:54 AM,C,26.002
10/1/14 8:22:59 AM,C,26.002
10/1/14 8:23:04 AM,C,26.002
10/1/14 8:23:09 AM,C,26.002
10/1/14 8:23:14 AM,C,26.002
10/1/14 8:23:19 AM,C,26.002
10/1/14 8:23:24 AM,C,26.002
10/1/14 8:23:29 AM,C,26.002
10/1/14 8:23:34 AM,C,26.002
10/1/14 8:23:39 AM,C,26.002
10/1/14 8:23:44 AM,C,26.002
10/1/14 8:23:49 AM,C,26.002
10/1/14 8:23:54 AM,C,26.002
10/1/14 8:23:59 AM,C,26.002
10/1/14 8:24:04 AM,C,26.002
10/1/14 8:24:09 AM,C,26.002
10/1/14 8:24:14 AM,C,26.002
10/1/14 8:24:19 AM,C,26.002
10/1/14 8:24:24 AM,C,25.503
10/1/14 8:24:29 AM,C,25.503
10/1/14 8:24:34 AM,C,25.503
10/1/14 8:24:39 AM,C,25.503
10/1/14 8:24:44 AM,C,25.503
10/1/14 8:24:49 AM,C,25.503
10/1/14 8:24:54 AM,C,25.503
10/1/14 8:24:59 AM,C,25.503
10/1/14 8:25:04 AM,C,25.503
10/1/14 8:25:09 AM,C,25.503
10/1/14 8:25:14 AM,C,25.503
10/1/14 8:25:19 AM,C,25.503
10/1/14 8:25:24 AM,C,25.503
10/1/14 8:25:29 AM,C,25.503
10/1/14 8:25:34 AM,C,25.503
10/1/14 8:25:39 AM,C,25.503
10/1/14 8:25:44 AM,C,25.503
10/1/14 8:25:49 AM,C,25.503
10/1/14 8:25:54 AM,C,25.005
10/1/14 8:25:59 AM,C,25.005
10/1/14 8:26:04 AM,C,25.005
10/1/14 8:26:09 AM,C,25.005
10/1/14 8:26:14 AM,C,25.005
10/1/14 8:26:19 AM,C,25.005
10/1/14 8:26:24 AM,C,25.005
10/1/14 8:26:29 AM,C,25.005
10/1/14 8:26:34 AM,C,25.005
10/1/14 8:26:39 AM,C,25.005
10/1/14 8:26:44 AM,C,25.005
10/1/14 8:26:49 AM,C,25.005
10/1/14 8:26:54 AM,C,25.005
10/1/14 8:26:59 AM,C,25.005
10/1/14 8:27:04 AM,C,25.005
10/1/14 8:27:09 AM,C,25.005
10/1/14 8:27:14 AM,C,25.005
10/1/14 8:27:19 AM,C,25.005
10/1/14 8:27:24 AM,C,25.005
10/1/14 8:27:29 AM,C,25.005
10/1/14 8:27:34 AM,C,25.005
10/1/14 8:27:39 AM,C,25.005
10/1/14 8:27:44 AM,C,25.005
10/1/14 8:27:49 AM,C,25.005
10/1/14 8:27:54 AM,C,25.005
10/1/14 8:27:59 AM,C,25.005
10/1/14 8:28:04 AM,C,25.005
10/1/14 8:28:09 AM,C,25.005
10/1/14 8:28:14 AM,C,25.005
10/1/14 8:28:19 AM,C,25.005
10/1/14 8:28:24 AM,C,25.005
10/1/14 8:28:29 AM,C,25.005
10/1/14 8:28:34 AM,C,25.005
10/1/14 8:28:39 AM,C,25.005
10/1/14 8:28:44 AM,C,25.005
10/1/14 8:28:49 AM,C,25.005
10/1/14 8:28:54 AM,C,25.005
10/1/14 8:28:59 AM,C,25.005
10/1/14 8:29:04 AM,C,25.005
10/1/14 8:29:09 AM,C,25.005
10/1/14 8:29:14 AM,C,25.005
10/1/14 8:29:19 AM,C,25.005
10/1/14 8:29:24 AM,C,25.005
10/1/14 8:29:29 AM,C,25.005
10/1/14 8:29:34 AM,C,25.005
10/1/14 8:29:39 AM,C,25.005
10/1/14 8:29:44 AM,C,25.005
10/1/14 8:29:49 AM,C,25.005
10/1/14 8:29:54 AM,C,25.005
10/1/14 8:29:59 AM,C,25.005
10/1/14 8:30:04 AM,C,25.005
10/1/14 8:30:09 AM,C,25.005
10/1/14 8:30:14 AM,C,25.005
10/1/14 8:30:19 AM,C,25.005
10/1/14 8:30:24 AM,C,25.005
10/1/14 8:30:29 AM,C,25.005
10/1/14 8:30:34 AM,C,25.005
10/1/14 8:30:39 AM,C,25.005
10/1/14 8:30:44 AM,C,25.005
10/1/14 8:30:49 AM,C,25.005
10/1/14 8:30:54 AM,C,25.005
10/1/14 8:30:59 AM,C,25.005
10/1/14 8:31:04 AM,C,25.005
10/1/14 8:31:09 AM,C,25.005
10/1/14 8:31:14 AM,C,25.005
10/1/14 8:31:19 AM,C,25.005
10/1/14 8:31:24 AM,C,25.005
10/1/14 8:31:29 AM,C,25.005
10/1/14 8:31:34 AM,C,25.005
10/1/14 8:31:39 AM,C,25.005
10/1/14 8:31:44 AM,C,25.005
10/1/14 8:31:49 AM,C,25.005
10/1/14 8:31:54 AM,C,25.005
10/1/14 8:31:59 AM,C,25.005
10/1/14 8:32:04 AM,C,25.005
10/1/14 8:32:09 AM,C,25.005
10/1/14 8:32:14 AM,C,25.005
10/1/14 8:32:19 AM,C,25.005
10/1/14 8:32:24 AM,C,25.005
10/1/14 8:32:29 AM,C,25.005
10/1/14 8:32:34 AM,C,25.503
10/1/14 8:32:39 AM,C,25.503
10/1/14 8:32:44 AM,C,25.503
10/1/14 8:32:49 AM,C,25.503
10/1/14 8:32:54 AM,C,26.002
10/1/14 8:32:59 AM,C,26.501
10/1/14 8:33:04 AM,C,26.999
10/1/14 8:33:09 AM,C,27.498
10/1/14 8:33:14 AM,C,27.997
10/1/14 8:33:19 AM,C,27.997
10/1/14 8:33:24 AM,C,28.495
10/1/14 8:33:29 AM,C,28.994
10/1/14 8:33:34 AM,C,28.994
10/1/14 8:33:39 AM,C,29.493
10/1/14 8:33:44 AM,C,29.493
10/1/14 8:33:49 AM,C,29.992
10/1/14 8:33:54 AM,C,29.992
10/1/14 8:33:59 AM,C,29.992
10/1/14 8:34:04 AM,C,30.491
10/1/14 8:34:09 AM,C,30.491
10/1/14 8:34:14 AM,C,30.491
10/1/14 8:34:19 AM,C,30.491
10/1/14 8:34:24 AM,C,30.989
10/1/14 8:34:29 AM,C,30.989
10/1/14 8:34:34 AM,C,30.989
10/1/14 8:34:39 AM,C,31.488
10/1/14 8:34:44 AM,C,31.488
10/1/14 8:34:49 AM,C,31.488
10/1/14 8:34:54 AM,C,31.488
10/1/14 8:34:59 AM,C,31.488
10/1/14 8:35:04 AM,C,31.987
10/1/14 8:35:09 AM,C,31.987
10/1/14 8:35:14 AM,C,31.987
10/1/14 8:35:19 AM,C,31.987
10/1/14 8:35:24 AM,C,31.987
10/1/14 8:35:29 AM,C,31.987
10/1/14 8:35:34 AM,C,31.987
10/1/14 8:35:39 AM,C,31.987
10/1/14 8:35:44 AM,C,32.486
10/1/14 8:35:49 AM,C,32.486
10/1/14 8:35:54 AM,C,32.486
10/1/14 8:35:59 AM,C,32.486
10/1/14 8:36:04 AM,C,32.486
10/1/14 8:36:09 AM,C,32.486
10/1/14 8:36:14 AM,C,32.486
10/1/14 8:36:19 AM,C,32.486
10/1/14 8:36:24 AM,C,32.486
10/1/14 8:36:29 AM,C,32.486
10/1/14 8:36:34 AM,C,31.987
10/1/14 8:36:39 AM,C,31.987
10/1/14 8:36:44 AM,C,31.987
10/1/14 8:36:49 AM,C,31.987
10/1/14 8:36:54 AM,C,31.987
10/1/14 8:36:59 AM,C,31.987
10/1/14 8:37:04 AM,C,31.987
10/1/14 8:37:09 AM,C,31.987
