1-Wire/iButton Part Number: DS1922T
1-Wire/iButton Registration Number: F000000021048041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 5 second(s)
Mission Start Time:  Thu Oct 02 07:18:28 WAST 2014
Mission Sample Count:  5394
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Oct 02 07:18:28 WAST 2014
Total Mission Samples:  5394
Total Device Samples:  70544
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/2/14 7:18:28 AM,C,24.046
10/2/14 7:18:33 AM,C,24.046
10/2/14 7:18:38 AM,C,24.046
10/2/14 7:18:43 AM,C,24.046
10/2/14 7:18:48 AM,C,23.543
10/2/14 7:18:53 AM,C,23.543
10/2/14 7:18:58 AM,C,23.543
10/2/14 7:19:03 AM,C,23.04
10/2/14 7:19:08 AM,C,23.04
10/2/14 7:19:13 AM,C,23.04
10/2/14 7:19:18 AM,C,22.536
10/2/14 7:19:23 AM,C,22.536
10/2/14 7:19:28 AM,C,22.536
10/2/14 7:19:33 AM,C,22.536
10/2/14 7:19:38 AM,C,22.032
10/2/14 7:19:43 AM,C,22.032
10/2/14 7:19:48 AM,C,22.032
10/2/14 7:19:53 AM,C,22.032
10/2/14 7:19:58 AM,C,22.032
10/2/14 7:20:03 AM,C,21.529
10/2/14 7:20:08 AM,C,21.529
10/2/14 7:20:13 AM,C,21.529
10/2/14 7:20:18 AM,C,21.529
10/2/14 7:20:23 AM,C,21.529
10/2/14 7:20:28 AM,C,21.025
10/2/14 7:20:33 AM,C,21.025
10/2/14 7:20:38 AM,C,21.025
10/2/14 7:20:43 AM,C,21.025
10/2/14 7:20:48 AM,C,21.025
10/2/14 7:20:53 AM,C,21.025
10/2/14 7:20:58 AM,C,20.521
10/2/14 7:21:03 AM,C,20.521
10/2/14 7:21:08 AM,C,20.521
10/2/14 7:21:13 AM,C,20.521
10/2/14 7:21:18 AM,C,20.521
10/2/14 7:21:23 AM,C,20.521
10/2/14 7:21:28 AM,C,20.521
10/2/14 7:21:33 AM,C,20.521
10/2/14 7:21:38 AM,C,20.521
10/2/14 7:21:43 AM,C,20.521
10/2/14 7:21:48 AM,C,20.521
10/2/14 7:21:53 AM,C,20.018
10/2/14 7:21:58 AM,C,20.018
10/2/14 7:22:03 AM,C,20.018
10/2/14 7:22:08 AM,C,20.018
10/2/14 7:22:13 AM,C,20.018
10/2/14 7:22:18 AM,C,20.018
10/2/14 7:22:23 AM,C,20.018
10/2/14 7:22:28 AM,C,20.018
10/2/14 7:22:33 AM,C,20.018
10/2/14 7:22:38 AM,C,20.018
10/2/14 7:22:43 AM,C,20.018
10/2/14 7:22:48 AM,C,20.018
10/2/14 7:22:53 AM,C,20.018
10/2/14 7:22:58 AM,C,20.018
10/2/14 7:23:03 AM,C,20.018
10/2/14 7:23:08 AM,C,20.018
10/2/14 7:23:13 AM,C,20.018
10/2/14 7:23:18 AM,C,19.514
10/2/14 7:23:23 AM,C,19.514
10/2/14 7:23:28 AM,C,19.514
